well,condition,day,method,t,dy,dx,post_corr,overlap
N20,PLD3_TMEM106B_mCherry_primary,29,A_cli,5,0.0,58.7,0.006328740962538042,0.9795327754532775
N20,PLD3_TMEM106B_mCherry_primary,32,A_cli,6,-922.1,0.1,0.0012901451488263897,0.6784630932095416
N20,PLD3_TMEM106B_mCherry_primary,36,A_cli,7,0.0,-920.1,0.0003297756055144495,0.67918410041841
N20,PLD3_TMEM106B_mCherry_primary,39,A_cli,8,0.0,-1173.2,-0.006753378041736663,0.5909344490934448
N20,PLD3_TMEM106B_mCherry_primary,8,B_pilot,0,0.0,0.0,1.0,1.0
N20,PLD3_TMEM106B_mCherry_primary,12,B_pilot,1,-181.0,-34.0,0.1823738380321693,0.9257830356222366
N20,PLD3_TMEM106B_mCherry_primary,16,B_pilot,2,-76.0,-7.0,0.14269606811719007,0.9711246496229252
N20,PLD3_TMEM106B_mCherry_primary,20,B_pilot,3,-198.0,-25.0,0.10415235404419708,0.922847259910249
N20,PLD3_TMEM106B_mCherry_primary,25,B_pilot,4,98.0,-10.0,0.08184840477996538,0.9624622390286507
N20,PLD3_TMEM106B_mCherry_primary,29,B_pilot,5,52.0,-14.0,0.0806524470567455,0.977075953774541
N20,PLD3_TMEM106B_mCherry_primary,32,B_pilot,6,-1613.0,-866.0,0.023482266125687507,0.3054565940916845
N20,PLD3_TMEM106B_mCherry_primary,36,B_pilot,7,94.0,1487.0,0.03489022169193053,0.46573817957591
N20,PLD3_TMEM106B_mCherry_primary,39,B_pilot,8,1754.0,-343.0,0.030334952453739655,0.3419702133288205
N20,PLD3_TMEM106B_mCherry_primary,8,stable_subpixel,0,0.0,0.0,1.0,1.0
N20,PLD3_TMEM106B_mCherry_primary,12,stable_subpixel,1,1.0,-1028.0,-0.003101818355467626,0.641338367481117
N20,PLD3_TMEM106B_mCherry_primary,16,stable_subpixel,2,-920.9,-0.05,0.0015953781672030755,0.6788933245264924
N20,PLD3_TMEM106B_mCherry_primary,20,stable_subpixel,3,0.85,-0.1,-0.0010488925890475682,0.9996687690506897
N20,PLD3_TMEM106B_mCherry_primary,25,stable_subpixel,4,-0.1,0.85,0.012145752482244535,0.9996687690506897
N20,PLD3_TMEM106B_mCherry_primary,29,stable_subpixel,5,0.0,-0.55,0.002628662153614036,0.9998082287308229
N20,PLD3_TMEM106B_mCherry_primary,32,stable_subpixel,6,-922.1,0.1,0.0032176679622144453,0.6784630932095416
N20,PLD3_TMEM106B_mCherry_primary,36,stable_subpixel,7,0.0,-920.15,0.0009817091461782183,0.6791666666666667
N20,PLD3_TMEM106B_mCherry_primary,39,stable_subpixel,8,0.0,2.7,0.006249607272036632,0.9990585774058578
