well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,large_shift,reanchored,anchor_ref_day,n_reanchors,anchor_churn,well_registration_qc_pass,qc_note,row,column,common_crop
C05,PLD3_only_no_mCherry,20,488nm Binned,-7.0,-152.0,-0.0018315001789147686,0.11884951938445538,0.9446900244899229,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C05,PLD3_only_no_mCherry,25,488nm Binned,75.78751417553576,6.953007617325056,0.004992458181101929,0.30740243370923914,0.9712145093871679,,True,False,True,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C05,PLD3_only_no_mCherry,29,488nm Binned,54.78751417553576,-17.046992382674944,0.0059102806518139435,0.26223458569939845,0.9750666467197153,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C05,PLD3_only_no_mCherry,32,488nm Binned,512.7002519913949,-167.20698984323099,0.004027280480612191,0.19946773011262023,0.77335552504596,,True,True,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C05,PLD3_only_no_mCherry,36,488nm Binned,-40.87141810431058,-180.00428659285535,-0.0020915227439233393,0.1180034311606067,0.9238805816437466,,True,False,False,20,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C05,PLD3_only_no_mCherry,39,488nm Binned,889.4390381183184,-136.0688137615216,0.0037953910539463135,0.26514372714451595,0.6571445308641314,,True,True,True,36,2,0.25,True,anchored_masked_phase_cross_correlation,C,05,"{'y_start': 589, 'y_stop': 2827, 'x_start': 7, 'x_stop': 2698}"
C12,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C12,PLD3_only_no_mCherry,12,488nm Binned,-104.0,-134.0,0.012997255854272086,0.15162438053102956,0.918709600866776,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C12,PLD3_only_no_mCherry,16,488nm Binned,-44.0,-43.0,0.008357230203374633,0.13201370366823836,0.9698952905041734,,True,False,False,8,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
C12,PLD3_only_no_mCherry,20,488nm Binned,-93.0,-158.0,0.00943673379760032,0.4210935755856213,0.9142689787176929,,True,False,True,16,2,0.25,True,anchored_masked_phase_cross_correlation,C,12,"{'y_start': 488, 'y_stop': 2747, 'x_start': 4, 'x_stop': 2693}"
