experiment,well,config,method,ref_mode,timepoint,true_dy,true_dx,est_dy,est_dx,abs_err_px,post_corr,reg_error,overlap,qc_pass
E3_mcherry,6,stride2,stable_subpixel,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride3,stable_subpixel,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,stride4,stable_subpixel,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.3,stable_subpixel,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.5,stable_subpixel,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E3_mcherry,6,corr0.7,stable_subpixel,anchored,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
E4_gradient,6,stride2,A_cli,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
E4_gradient,6,stride2,A_cli,anchored,1,0.1496848280420715,-4.603810571720146,-0.1,4.8,0.20238298818415074,0.9236466247398293,0.9999999986235929,0.9744921875,True
E4_gradient,6,stride2,A_cli,anchored,2,-4.679396089822512,-3.628311541970528,4.9,4.5,0.899170091277171,0.9588098851163197,0.999999998985176,0.9516398111979166,True
E4_gradient,6,stride2,A_cli,anchored,3,2.2362108612126548,-1.466420474796971,-0.1,4.8,3.9593117197835994,0.8600497722805074,0.9999999989466342,0.9744921875,True
E4_gradient,6,stride2,A_cli,anchored,4,5.07116189947131,-3.6197767480871033,-0.1,4.8,5.109342184186831,0.886440859140087,0.9999999990798011,0.9744921875,True
E4_gradient,6,stride2,A_cli,anchored,5,-4.4037918004461165,5.446500007881341,6.4,-2.1000000000000005,3.8966536257044933,0.8645227897419338,0.9999999994627056,0.9560937500000001,True
E4_gradient,6,stride2,A_cli,anchored,6,3.746513962960911,-5.162931385284615,6.4,-2.1000000000000005,12.478057457309333,0.6227958286498709,0.9999999995103394,0.9560937500000001,True
E4_gradient,6,stride2,A_cli,anchored,7,-3.0468524202825322,-2.4140660582858593,5.0,5.699999999999999,3.8225838561717946,0.988468761800125,0.9999999994315323,0.9450439453124999,True
E4_gradient,6,stride2,A_cli,anchored,8,0.6085828747131057,-0.48724767418712434,1.2999999999999998,3.599999999999999,3.6512895847223077,0.9901600106243402,0.9999999983521038,0.9746061197916666,True
E4_gradient,6,stride3,A_cli,anchored,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True
